2026-04-16 23:44:40 | WARNING  | apscheduler.executors.default | run_coroutine_job:25 | Run time of job "PriceUpdater.update_price (trigger: cron[hour='16', minute='0'], next run at: 2026-04-17 16:00:00 MSK)" was missed by 7:44:40.428010
2026-04-16 23:44:40 | WARNING  | apscheduler.executors.default | run_coroutine_job:25 | Run time of job "PriceUpdater.update_price (trigger: cron[hour='17', minute='0'], next run at: 2026-04-17 17:00:00 MSK)" was missed by 6:44:40.428519
2026-04-16 23:44:40 | WARNING  | apscheduler.executors.default | run_coroutine_job:25 | Run time of job "PriceUpdater.update_price (trigger: cron[hour='18', minute='0'], next run at: 2026-04-17 18:00:00 MSK)" was missed by 5:44:40.428708
2026-04-16 23:44:40 | WARNING  | apscheduler.executors.default | run_coroutine_job:25 | Run time of job "PriceUpdater.update_price (trigger: cron[hour='19', minute='30'], next run at: 2026-04-17 19:30:00 MSK)" was missed by 4:14:40.429139
2026-04-17 22:29:14 | WARNING  | apscheduler.executors.default | run_coroutine_job:25 | Run time of job "PriceUpdater.update_price (trigger: cron[hour='11', minute='30'], next run at: 2026-04-18 11:30:00 MSK)" was missed by 10:59:14.471583
2026-04-17 22:29:14 | WARNING  | apscheduler.executors.default | run_coroutine_job:25 | Run time of job "PriceUpdater.update_price (trigger: cron[hour='12', minute='0'], next run at: 2026-04-18 12:00:00 MSK)" was missed by 10:29:14.485091
2026-04-17 22:29:14 | WARNING  | apscheduler.executors.default | run_coroutine_job:25 | Run time of job "PriceUpdater.update_price (trigger: cron[hour='13', minute='0'], next run at: 2026-04-18 13:00:00 MSK)" was missed by 9:29:14.486197
2026-04-17 22:29:14 | WARNING  | apscheduler.executors.default | run_coroutine_job:25 | Run time of job "PriceUpdater.update_price (trigger: cron[hour='14', minute='0'], next run at: 2026-04-18 14:00:00 MSK)" was missed by 8:29:14.486854
2026-04-17 22:29:14 | WARNING  | apscheduler.executors.default | run_coroutine_job:25 | Run time of job "PriceUpdater.update_price (trigger: cron[hour='15', minute='0'], next run at: 2026-04-18 15:00:00 MSK)" was missed by 7:29:14.487899
2026-04-17 22:29:14 | WARNING  | apscheduler.executors.default | run_coroutine_job:25 | Run time of job "PriceUpdater.update_price (trigger: cron[hour='16', minute='0'], next run at: 2026-04-18 16:00:00 MSK)" was missed by 6:29:14.488975
2026-04-17 22:29:14 | WARNING  | apscheduler.executors.default | run_coroutine_job:25 | Run time of job "PriceUpdater.update_price (trigger: cron[hour='17', minute='0'], next run at: 2026-04-18 17:00:00 MSK)" was missed by 5:29:14.489680
2026-04-17 22:29:14 | WARNING  | apscheduler.executors.default | run_coroutine_job:25 | Run time of job "PriceUpdater.update_price (trigger: cron[hour='18', minute='0'], next run at: 2026-04-18 18:00:00 MSK)" was missed by 4:29:14.490349
2026-04-17 22:29:14 | WARNING  | apscheduler.executors.default | run_coroutine_job:25 | Run time of job "PriceUpdater.update_price (trigger: cron[hour='19', minute='30'], next run at: 2026-04-18 19:30:00 MSK)" was missed by 2:59:14.491004
